din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2024-02-24;N;NORTE;SE;SUDESTE;130350.41699997
2024-02-24;NE;NORDESTE;SE;SUDESTE;96702.47499999
2024-02-24;SE;SUDESTE;S;SUL;75152.58099996
2024-02-25;N;NORTE;NE;NORDESTE;-42362.53300002
2024-02-25;N;NORTE;SE;SUDESTE;109405.18499994
2024-02-25;NE;NORDESTE;SE;SUDESTE;97620.58999995
2024-02-25;SE;SUDESTE;S;SUL;63628.85499998
2024-02-26;N;NORTE;NE;NORDESTE;-7666.424
2024-02-26;N;NORTE;SE;SUDESTE;185285.44999998
2024-02-26;NE;NORDESTE;SE;SUDESTE;78862.32199996
2024-02-26;SE;SUDESTE;S;SUL;60881.65999995
2024-02-27;N;NORTE;NE;NORDESTE;14551.51600001
2024-02-27;N;NORTE;SE;SUDESTE;198030.08299991
2024-02-27;NE;NORDESTE;SE;SUDESTE;76770.64699997
2024-02-27;SE;SUDESTE;S;SUL;77326.78799999
2024-02-28;N;NORTE;NE;NORDESTE;55199.13999997
2024-02-28;N;NORTE;SE;SUDESTE;136761.42599997
2024-02-28;NE;NORDESTE;SE;SUDESTE;31652.94399998
2024-02-28;SE;SUDESTE;S;SUL;34621.43599992
2024-02-29;N;NORTE;NE;NORDESTE;77077.66299998
2024-02-29;N;NORTE;SE;SUDESTE;88467.32499999
2024-02-29;NE;NORDESTE;SE;SUDESTE;7366.5650000099995
2024-02-29;SE;SUDESTE;S;SUL;7759.30999999
2024-03-01;N;NORTE;NE;NORDESTE;98414.36399996
2024-03-01;N;NORTE;SE;SUDESTE;95553.26599998
2024-03-01;NE;NORDESTE;SE;SUDESTE;-11007.62100002
2024-03-01;SE;SUDESTE;S;SUL;-1220.2040000100003
2024-03-02;N;NORTE;NE;NORDESTE;83254.88599999
2024-03-02;N;NORTE;SE;SUDESTE;82385.77099998
2024-03-02;NE;NORDESTE;SE;SUDESTE;-1389.8730000000005
2024-03-02;SE;SUDESTE;S;SUL;15077.96400001
2024-03-03;N;NORTE;NE;NORDESTE;56881.24999997
2024-03-03;N;NORTE;SE;SUDESTE;67028.84299997
2024-03-03;NE;NORDESTE;SE;SUDESTE;21709.536
2024-03-03;SE;SUDESTE;S;SUL;37461.04199999
2024-03-04;N;NORTE;NE;NORDESTE;85553.29599998001
2024-03-04;N;NORTE;SE;SUDESTE;109980.58099999
2024-03-04;NE;NORDESTE;SE;SUDESTE;10741.24799992
2024-03-04;SE;SUDESTE;S;SUL;8502.40799998
2024-03-05;N;NORTE;NE;NORDESTE;65940.29499996
2024-03-05;N;NORTE;SE;SUDESTE;162639.40599995
2024-03-05;NE;NORDESTE;SE;SUDESTE;38448.06500001
2024-03-05;SE;SUDESTE;S;SUL;18210.97500001
2024-03-06;N;NORTE;NE;NORDESTE;10080.60099998
2024-03-06;N;NORTE;SE;SUDESTE;186761.64499994
2024-03-06;NE;NORDESTE;SE;SUDESTE;77057.42299998
2024-03-06;SE;SUDESTE;S;SUL;56539.36699998
2024-03-07;N;NORTE;NE;NORDESTE;-10137.54700001
2024-03-07;N;NORTE;SE;SUDESTE;186942.71699995
2024-03-07;NE;NORDESTE;SE;SUDESTE;82518.26799995
2024-03-07;SE;SUDESTE;S;SUL;58640.07299997
2024-03-08;N;NORTE;NE;NORDESTE;-16655.89999998
2024-03-08;N;NORTE;SE;SUDESTE;197859.86199994
2024-03-08;NE;NORDESTE;SE;SUDESTE;82934.04699999001
2024-03-08;SE;SUDESTE;S;SUL;53033.21500001
2024-03-09;N;NORTE;NE;NORDESTE;7650.788999990001
2024-03-09;N;NORTE;SE;SUDESTE;175927.06599998
2024-03-09;NE;NORDESTE;SE;SUDESTE;56359.14599996
2024-03-09;SE;SUDESTE;S;SUL;28243.187999989997
2024-03-10;N;NORTE;NE;NORDESTE;15501.73599997
2024-03-10;N;NORTE;SE;SUDESTE;94139.99999994
2024-03-10;NE;NORDESTE;SE;SUDESTE;55311.11799996
2024-03-10;SE;SUDESTE;S;SUL;5324.89900001
2024-03-11;N;NORTE;NE;NORDESTE;59732.77299998
2024-03-11;N;NORTE;SE;SUDESTE;163456.51599999
2024-03-11;NE;NORDESTE;SE;SUDESTE;21485.04799994
2024-03-11;SE;SUDESTE;S;SUL;3445.9519999800004
2024-03-12;N;NORTE;NE;NORDESTE;71995.35899998
2024-03-12;N;NORTE;SE;SUDESTE;165851.52899996
2024-03-12;NE;NORDESTE;SE;SUDESTE;15792.55699999
2024-03-12;SE;SUDESTE;S;SUL;-541.2189999900002
2024-03-13;N;NORTE;NE;NORDESTE;63095.01499997
2024-03-13;N;NORTE;SE;SUDESTE;159839.01899995998
2024-03-13;NE;NORDESTE;SE;SUDESTE;43309.03999998
2024-03-13;SE;SUDESTE;S;SUL;13274.92799998
2024-03-14;N;NORTE;NE;NORDESTE;31797.217
2024-03-14;N;NORTE;SE;SUDESTE;171915.08299995
2024-03-14;NE;NORDESTE;SE;SUDESTE;60933.30799999
2024-03-14;SE;SUDESTE;S;SUL;31982.01399997
2024-03-15;N;NORTE;NE;NORDESTE;-3558.0359999899997
2024-03-15;N;NORTE;SE;SUDESTE;173158.16699994
2024-03-15;NE;NORDESTE;SE;SUDESTE;88196.89499999
2024-03-15;SE;SUDESTE;S;SUL;44106.18599997
2024-03-16;N;NORTE;NE;NORDESTE;-4593.910000020001
2024-03-16;N;NORTE;SE;SUDESTE;172190.84899997
2024-03-16;NE;NORDESTE;SE;SUDESTE;71310.33699995
2024-03-16;SE;SUDESTE;S;SUL;30029.50999997
2024-03-17;N;NORTE;NE;NORDESTE;-2955.8950000099994
2024-03-17;N;NORTE;SE;SUDESTE;124387.09099996
2024-03-17;NE;NORDESTE;SE;SUDESTE;60864.46499998
2024-03-17;SE;SUDESTE;S;SUL;18712.42199998
2024-03-18;N;NORTE;NE;NORDESTE;36520.40999999
2024-03-18;N;NORTE;SE;SUDESTE;162008.31599998
2024-03-18;NE;NORDESTE;SE;SUDESTE;46454.65199995
2024-03-18;SE;SUDESTE;S;SUL;275.9359999799997
2024-03-19;N;NORTE;NE;NORDESTE;20479.23599998
2024-03-19;N;NORTE;SE;SUDESTE;178342.39899995
2024-03-19;NE;NORDESTE;SE;SUDESTE;62199.46399998
2024-03-19;SE;SUDESTE;S;SUL;9726.716
2024-03-20;N;NORTE;NE;NORDESTE;43644.33799999
2024-03-20;N;NORTE;SE;SUDESTE;152240.61899995
2024-03-20;NE;NORDESTE;SE;SUDESTE;46993.16899995
2024-03-20;SE;SUDESTE;S;SUL;-28.315000019999417
2024-03-21;N;NORTE;NE;NORDESTE;37786.82499999
2024-03-21;N;NORTE;SE;SUDESTE;157153.58399998
2024-03-21;NE;NORDESTE;SE;SUDESTE;52947.82899998
2024-03-21;SE;SUDESTE;S;SUL;-22181.51799999
2024-03-22;N;NORTE;NE;NORDESTE;33853.16399998
2024-03-22;N;NORTE;SE;SUDESTE;139592.67699999
2024-03-22;NE;NORDESTE;SE;SUDESTE;51311.82799998
2024-03-22;SE;SUDESTE;S;SUL;-15420.133
2024-03-23;N;NORTE;NE;NORDESTE;20038.31999999
2024-03-23;N;NORTE;SE;SUDESTE;103965.27399997
2024-03-23;NE;NORDESTE;SE;SUDESTE;62685.84899998
2024-03-23;SE;SUDESTE;S;SUL;18833.08099997
2024-03-24;N;NORTE;NE;NORDESTE;-24756.00899998
2024-03-24;N;NORTE;SE;SUDESTE;106459.02599999
2024-03-24;NE;NORDESTE;SE;SUDESTE;85970.53499997
2024-03-24;SE;SUDESTE;S;SUL;74863.53299998
2024-03-25;N;NORTE;NE;NORDESTE;-2770.3189999800015
2024-03-25;N;NORTE;SE;SUDESTE;177694.41299996
2024-03-25;NE;NORDESTE;SE;SUDESTE;70568.21399998
2024-03-25;SE;SUDESTE;S;SUL;78844.55999996999
2024-03-26;N;NORTE;NE;NORDESTE;76580.824
2024-03-26;N;NORTE;SE;SUDESTE;152477.404
2024-03-26;NE;NORDESTE;SE;SUDESTE;18287.34199996
2024-03-26;SE;SUDESTE;S;SUL;46915.165
2024-03-27;N;NORTE;NE;NORDESTE;42891.71099998
2024-03-27;N;NORTE;SE;SUDESTE;169071.56299996
2024-03-27;NE;NORDESTE;SE;SUDESTE;50781.187999969996
2024-03-27;SE;SUDESTE;S;SUL;73524.62599998
2024-03-28;N;NORTE;NE;NORDESTE;-25385.75399999
2024-03-28;N;NORTE;SE;SUDESTE;185661.14599997
2024-03-28;NE;NORDESTE;SE;SUDESTE;87134.08299997
2024-03-28;SE;SUDESTE;S;SUL;106519.48599997
2024-03-29;N;NORTE;NE;NORDESTE;-17334.85699999
2024-03-29;N;NORTE;SE;SUDESTE;138415.36399995
2024-03-29;NE;NORDESTE;SE;SUDESTE;97271.69599995
2024-03-29;SE;SUDESTE;S;SUL;129109.03099998
2024-03-30;N;NORTE;NE;NORDESTE;64028.08999999
2024-03-30;N;NORTE;SE;SUDESTE;113972.35299998
2024-03-30;NE;NORDESTE;SE;SUDESTE;40982.33999999
2024-03-30;SE;SUDESTE;S;SUL;90241.56699998
2024-03-31;N;NORTE;NE;NORDESTE;67526.15499997
2024-03-31;N;NORTE;SE;SUDESTE;134908.29499999
2024-03-31;NE;NORDESTE;SE;SUDESTE;9640.994999999999
2024-03-31;SE;SUDESTE;S;SUL;93096.53999999
2024-04-01;N;NORTE;NE;NORDESTE;79318.20099997
2024-04-01;N;NORTE;SE;SUDESTE;97858.11699994
2024-04-01;NE;NORDESTE;SE;SUDESTE;1749.17999998
2024-04-01;SE;SUDESTE;S;SUL;27156.68899999
2024-04-02;N;NORTE;NE;NORDESTE;104528.39099999
2024-04-02;N;NORTE;SE;SUDESTE;102114.58199996
2024-04-02;NE;NORDESTE;SE;SUDESTE;-2419.87900001
2024-04-02;SE;SUDESTE;S;SUL;5475.80900001
2024-04-03;N;NORTE;NE;NORDESTE;92413.60699998
2024-04-03;N;NORTE;SE;SUDESTE;99701.07499999
2024-04-03;NE;NORDESTE;SE;SUDESTE;-1663.4850000000006
2024-04-03;SE;SUDESTE;S;SUL;-363.9790000000002
2024-04-04;N;NORTE;NE;NORDESTE;88838.12299997
2024-04-04;N;NORTE;SE;SUDESTE;86013.19799998
2024-04-04;NE;NORDESTE;SE;SUDESTE;10484.03099997
2024-04-04;SE;SUDESTE;S;SUL;15755.99499999
2024-04-05;N;NORTE;NE;NORDESTE;48965.56499998
2024-04-05;N;NORTE;SE;SUDESTE;99967.78099998001
2024-04-05;NE;NORDESTE;SE;SUDESTE;46862.755000000005
2024-04-05;SE;SUDESTE;S;SUL;31710.857999969998
2024-04-06;N;NORTE;NE;NORDESTE;21214.16399998
2024-04-06;N;NORTE;SE;SUDESTE;85818.14399996
2024-04-06;NE;NORDESTE;SE;SUDESTE;63697.56399999
2024-04-06;SE;SUDESTE;S;SUL;42228.899
2024-04-07;N;NORTE;NE;NORDESTE;2364.7629999899996
2024-04-07;N;NORTE;SE;SUDESTE;103727.47599999
2024-04-07;NE;NORDESTE;SE;SUDESTE;83816.69499997
2024-04-07;SE;SUDESTE;S;SUL;72190.26599999
2024-04-08;N;NORTE;NE;NORDESTE;6518.10100001
2024-04-08;N;NORTE;SE;SUDESTE;173977.97099997
2024-04-08;NE;NORDESTE;SE;SUDESTE;83070.91599996
2024-04-08;SE;SUDESTE;S;SUL;86895.43899997
2024-04-09;N;NORTE;NE;NORDESTE;42896.92499999
2024-04-09;N;NORTE;SE;SUDESTE;163344.72399992
2024-04-09;NE;NORDESTE;SE;SUDESTE;49502.75899998
2024-04-09;SE;SUDESTE;S;SUL;67948.70599998
2024-04-10;N;NORTE;NE;NORDESTE;51006.01699998
2024-04-10;N;NORTE;SE;SUDESTE;74109.64799999
2024-04-10;NE;NORDESTE;SE;SUDESTE;28984.30999999
2024-04-10;SE;SUDESTE;S;SUL;7408.93599998
2024-04-11;N;NORTE;NE;NORDESTE;57299.130999990004
2024-04-11;N;NORTE;SE;SUDESTE;71329.42299999
2024-04-11;NE;NORDESTE;SE;SUDESTE;22689.533000000003
2024-04-11;SE;SUDESTE;S;SUL;-13416.257
2024-04-12;N;NORTE;NE;NORDESTE;27810.43099997
2024-04-12;N;NORTE;SE;SUDESTE;123816.58399998
2024-04-12;NE;NORDESTE;SE;SUDESTE;58524.95999998
2024-04-12;SE;SUDESTE;S;SUL;6784.917999980001
2024-04-13;N;NORTE;NE;NORDESTE;-14931.79899998
2024-04-13;N;NORTE;SE;SUDESTE;116826.84899998001
2024-04-13;NE;NORDESTE;SE;SUDESTE;95621.55099996
2024-04-13;SE;SUDESTE;S;SUL;53169.829999969996
2024-04-14;N;NORTE;NE;NORDESTE;-17431.50599999
2024-04-14;N;NORTE;SE;SUDESTE;99636.52799997
2024-04-14;NE;NORDESTE;SE;SUDESTE;89215.41299998
2024-04-14;SE;SUDESTE;S;SUL;58212.60999998
2024-04-15;N;NORTE;NE;NORDESTE;-2635.36100001
2024-04-15;N;NORTE;SE;SUDESTE;190149.35399991
2024-04-15;NE;NORDESTE;SE;SUDESTE;84404.03399997001
2024-04-15;SE;SUDESTE;S;SUL;62496.40999997
2024-04-16;N;NORTE;NE;NORDESTE;-5031.74099998
2024-04-16;N;NORTE;SE;SUDESTE;205503.95399995
2024-04-16;NE;NORDESTE;SE;SUDESTE;85798.20099997999
2024-04-16;SE;SUDESTE;S;SUL;59924.29599997
2024-04-17;N;NORTE;NE;NORDESTE;911.8610000199998
2024-04-17;N;NORTE;SE;SUDESTE;169156.48299998
2024-04-17;NE;NORDESTE;SE;SUDESTE;79694.78
2024-04-17;SE;SUDESTE;S;SUL;62560.53399998
2024-04-18;N;NORTE;NE;NORDESTE;35389.47699999
2024-04-18;N;NORTE;SE;SUDESTE;147545.51299998
2024-04-18;NE;NORDESTE;SE;SUDESTE;49702.33899999
